c_ClaveUnidad	Nombre
A2	Amperio por centímetro
A20	Unidad térmica británica (tabla internacional) por segundo pie cuadrado grado rankine.
A21	Unidad térmica británica (tabla internacional) por libra grado rankine
A22	Unidad térmica británica (tabla internacional) por segundo pie grado rankine
A23	Unidad térmica británica (tabla internacional) por hora pie cuadrado grado rankine.
A24	Candela por metro cuadrado
A25	Caballo de vapor
A26	Culombio metro
A27	Culombio metro cuadrado por voltio
A28	Culombio por centímetro cúbico
A29	Culombio por metro cúbico
A3	Amperio por milímetro
A30	Culombio por milimetro cúbico
A31	Culombio por kilogramo-segundo
A32	Culombio por Mol
A33	Culombio por centímetro cuadrado
A34	Culombio por metro cuadrado
A35	Culombio por milímetro cuadrado
A36	Centimetro cúbico por Mol
A37	Decimetro cuadrado por Mol
A38	Cubic pooulo p
A39	Metro cúbico por kilogramo
A4	Amperio por centímetro cuadrado
A40	Metro cubbico por Mol
A41	Amperio por metro cuadrado
A42	Curie por kilogramo
A43	Tonelaje de peso muerto
A44	Decalitro
A45	Decámetro
A47	Decitex
A48	Grado rankine
A49	Negador
A5	Amperio metro cuadrado
A50	Dina segundo por centímetro cúbico
A51	Dina segundo por centímetro
A52	Dina segundo por centímetro a la quinta potencia
A53	Electrónvoltio
A54	Electrovoltio por metro
A55	Electrovoltio por metro cuadrado
A56	Electrovoltio metro cuadrado por kilogramo
A57	Ergio
A58	Erg por centímetro
A59	La cobertura de nubes 8-parte
A6	Amperio por metro cuadrado Kelvin cuadrado
A60	Erg por centímetro cúbico
A61	Erg por gramo
A62	Erg por segundo gramo
A63	Erg por segundo
A64	Erg por segundo centímetro cuadrado
A65	Erg por centímetro cuadrado segundo
A66	Erg centímetro cuadrado
A67	Erg centímetro cuadrado por gramo
A68	Exajoule
A69	Faradio por metro
A7	Amperio por milímetro cuadrado
A70	Femtojoule
A71	Femtómetro
A73	Pie por segundo al cuadrado
A74	Pie libra-fuerza por segundo
A75	Tonelada de carga
A76	Galón
A77	Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de desplazamiento
A78	Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de corriente eléctrica
A79	Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de carga eléctrica
A8	Amperio segundo
A80	Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de la fuerza del campo eléctrico
A81	Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de polarización eléctrica
A82	Gaussiano CGS (Centímetro-Gram-Segundo sistema) unidad de potencial eléctrico
A83	Gaussian CGS (Centímetro-Gram-Segundo sistema) unidad de magnetización
A84	GigaCulombio por metro cúbico
A85	Gigaelectrónvoltio
A86	Gigahertz
A87	GigaOhm
A88	GigaOhm metro
A89	Gigapascal
A9	Tarífa
A90	Gigawatt
A91	Grado centesimal
A93	Gramo por metro cúbico
A94	Gramo por Mol
A95	Gray
A96	Gray por segundo
A97	Hectopascal
A98	Henry por metro
A99	Bit
AA	Balón
AB	Paquete a granel
ACR	Acre
ACT	Actividad
AD	Byte
AE	Amperio por metro
AH	Minuto adicional
AI	Minuto y medio por llamada
AJ	policía
AK	Braza
AL	Línea de acceso
AMH	Amperio hora
AMP	Amperio
ANN	Año
AP	Libra de aluminio solamente
APZ	Onza troy u onza farmacéutica 
AQ	Unidad del factir anti-hemofilico.
AR	supositorio
ARE	Are
AS	Variedad
ASM	Grado alcohólico en masa
ASU	Grado alcohólico volumétrico
ATM	Atmósfera estándar
ATT	Atmósfera técnica
AW	Relleno de polvo en viales
AWG	Calibre de alambre americano
AY	Montaje
AZ	Unidad térmica británica (tabla internacional) por libra
B0	Btu por pie cúbico
B1	Barril (EUA) por día
B10	Bits por segundo
B11	Joule por kilogramo kelvin
B12	Joule por metro
B13	Joule por metro cuadrado
B14	Joule por metro a la cuarta potencia
B15	Juole por Mol
B16	Juoule por Mol kelvin
B17	Crédito
B18	Segundos joule
B19	Dígito
B2	litera
B20	Joule metro cuadrado por kologramo
B21	Kelvin por watt
B22	Kiloamperio
B23	Kiloamperio por metro cuadrado
B24	Kiloamperio por metro
B25	Kilobecquerel por metrocúbico
B26	KiloCulombio
B27	KiloCulombio por metro cúbico
B28	KiloCulombio por metro cuadrado
B29	Kiloelectrónvoltio
B3	Libra de bateo
B30	Gibibit
B31	Kilogramo metro por segundo
B32	Kilogramo metro cuadrado
B33	Kilogramo metro cuadrado por segundo
B34	Kilogramo por decímetro cúbico
B35	Kilogramo por litro
B36	Calorías (termoquímicas) por gramo
B37	Kilogramo de fuerza
B38	Kilogramo-metro de la fuerza
B39	Kilogramo-fuerza del metro por segundo
B4	"Barril, unidad imperial"
B40	Kilogramo de fuerza por metro cuadrado
B41	Kilojoule por kelvin
B42	Kilojoule por kilogramo
B43	Kilojoule por kilogramo kelvin
B44	Kilojoule por Mol 
B45	KiloMol
B46	KiloMol por metro cúbico
B47	Kilonewton
B48	Kilonewton metro
B49	KiloOhm
B5	palanquilla
B50	KiloOhm metro
B51	KiloLibra
B52	Kilosegundo
B53	Kilosiemens
B54	Kilosiemens por metro
B55	Kilovoltio por metro
B56	Kiloweber por metro
B57	Año luz
B58	Litro por Mol
B59	Lumen hora
B6	Bollo
B60	Lumen por metro cuadrado
B61	Luminosidad por watt
B62	Lumen segundo
B63	Hora de luz
B64	Segundo de luz
B65	Maxwell
B66	Megaamperio por metro cuadrado
B67	Megabecquerel por kilogramo
B68	Gigabit
B69	MegaCulombio por metro cúbico
B7	Ciclo
B70	MegaCulombio por metro cuadrado
B71	Megaelectrónvoltio
B72	Megagramo por metro cúbico
B73	Meganewton
B74	Meganewton metro
B75	MegaOhm
B76	MegaOhm metro
B77	Megasiemens por metro
B78	Megavoltio 
B79	Megavoltio por metro
B8	Joule por metro cúbico
B80	Gigabit por segundo
B81	"Reciprocidad del metro cuadrado, reciprocidad del segundo"
B82	Pulgadas por pie lineal
B83	Metro a la cuarta potencia
B84	Microamperio
B85	Microbar
B86	MicroCulombio
B87	MicroCulombio por metro cúbico
B88	MicroCulombio por metro cuadrado
B89	Microfaradio por metro
B9	Batt
B90	Microhenry
B91	Microhenry por metro
B92	Micronewton
B93	Micronewton metro
B94	Micro Ohm
B95	MicroOhm metro
B96	Micropascal
B97	Microrradián
B98	Microsegundo
B99	Microsiemens
BAR	Bar [unidad de presión]
BB	Caja base
BFT	Tablero de pies
BH	Cepillo
BHP	Potencia al freno
BIL	Billon
BLD	Barril seco (EUA)
BLL	Barril (EUA)
BP	Tabledo de cien pies
BPM	Latidos por minuto
BQL	Becquerel
BTU	Unidad térmica británica (tabla internacional)
BUA	Bushel (EUA)
BUI	Bushel (UK)
BW	Peso base
BZ	Millones de BTUs
C0	Llamada
C1	Libra de producto compuesto (peso total)
C10	Milifaradio
C11	Miligalón
C12	Miligramo por metro
C13	MilliGray
C14	Milihenry
C15	Milijoule
C16	Milímetro por segundo
C17	Milímetro cuadrado por segundo
C18	MiliMol
C19	Mol por kilogramo
C2	Carset
C20	Milinewton
C21	Kibibit
C22	Milinewton por metro
C23	MiliOhm metro
C24	Milipascal segundo
C25	Milirradián
C26	Milisegundo
C27	Milisiemens
C28	MilliSievert
C29	Militesla
C3	Microvoltios por metro
C30	Milivoltio por metro
C31	Miliwatt
C32	Miliwatt por metro cuadrado
C33	Miliweber
C34	Mol
C35	Mol por decimetro cúbico
C36	Mol por metro cúbico
C37	Kilobits
C38	Mol por litro
C39	Nanoamperio
C4	partido de carga
C40	NanoCulombio
C41	Nanofaradio
C42	Nanofaradio por metro
C43	Nanohenry
C44	Nanohenry por metro
C45	Nanómetro
C46	NanoOhm metro
C47	Nanosegundo
C48	Nanotesla
C49	Nanowatt
C5	Costo
C50	Neperio
C51	Neperio por segundo
C52	Picómetro
C53	Newton metro segundo
C54	Newton metro cuadrado por kilogramo cuadrado
C55	Newton por metro cuadrado
C56	Newton por milimetro cuadrado
C57	Newton segundo
C58	Segundos newton por metro
C59	Octava
C6	celda
C60	Ohm centímetro
C61	Ohm metro
C62	Uno
C63	Pársec
C64	Pascal por kelvin
C65	Pascal segundo
C66	Segundos pascal por metro cúbico
C67	Segundos pascal por metro 
C68	Petajoule
C69	Phon
C7	Centipoise
C70	Picoamperio
C71	PicoCulombio
C72	Picofaradio por metro
C73	Picohenry
C74	Kilobits por segundo
C75	Picowatt
C76	Picowatt  por metro cuadrado
C77	Calibre de libra
C78	Libra fuerza
C79	Kilovoltios horas amperios
C8	MilliCulombio por kilogramo
C80	Rad
C81	Radián
C82	Radianmetro cuadrado por Mol
C83	Rradian metro cuadrado por kilogramo
C84	Radían por metro
C85	Reciprocidad Ámstrong
C86	Reciprocidad del metro cúbico
C87	Reciprocidad metro cúbico por segundo
C88	Recíproco joule por metro cúbico
C89	Henry recíproco
C9	Grupo bobinas
C90	Recíproco Henry
C91	Recíprocidad de kelvin ó kelvin a la potencia menos 1
C92	Reciprocidad Metro
C93	Reciprocidad Metro cuadrado
C94	Reciprocidad Minuto
C95	Reciprocidad Mol
C96	Reciprocidad Pascal o pascal a la potencia menos 1 
C97	Reciprocidad Segundo
C98	Segundo recíproco por metro cúbico
C99	Reciprocidad Segundo por metro cuadrado
CCT	Capacidad de carga en toneladas métricas
CDL	Candela
CE	Cada mes
CEL	Grados celsius
CEN	Centenar
CG	Tarjeta
CGM	Centígramo
CK	Conector
CKG	Culombio por kilogramo
CLF	Cientos de hojas
CLT	Centilitro
CMK	Centímetro cuadrado
CMQ	Centímetro cúbico
CMT	Centímetro
CNP	Cientos de paquetes
CNT	Cental (UK)
COU	Culombio
CTG	Contenido en gramos
CTM	Quilatage métrico
CTN	Tonelada de contenido (métrica)
CUR	Curie
CWA	Hundred pound
CWI	Hundredweight
CZ	Combo
D03	Kilovatio hora por hora
D04	Lot [unidad de peso]
D1	Segundo recíproco por estereorradián
D10	Siemens por metro
D11	Mebibit
D12	Siemens metro cuadrado por Mol
D13	Sievert
D14	Yarda mil lineal
D15	Sone
D16	Centimetro cuadrado por erg
D17	Centimetro cuadrado por esteroradian erg
D18	Metro kelvin
D19	Metro cuadrado kelvin por watt.
D2	Segundo recíproco por estereorradián metro cuadrado
D20	Metro cuadrado por joule
D21	Metro cuadrado por kilogramo
D22	Metro cuadrado por Mol
D23	Gramo pluma (proteína)
D24	Metro cuadrado por esteroradian
D25	Metro cuadrado por esteroradian joule
D26	Metro cuadrado por voltiosegundo
D27	Estereorradían
D28	sifón
D29	Terahertz
D30	Terajoule
D31	Terawatt
D32	Terawatt hora 
D33	Tesla
D34	Tex
D35	Calorías (termoquímicas)
D36	Megabit
D37	Calorías (termoquímicas) por gramo de kelvin
D38	Calorías (termoquímicas) por segundo centímetro kelvin
D39	Calorías (termoquímicas) por segundo centímetro cuadrado kelvin
D40	Mil litros
D41	Tonelada por metro cúbico
D42	Año tropical
D43	Unidad de masa atómica unificada
D44	Var
D45	Voltio cuadrado por kelvin cuadrado
D46	Voltioio-amperio
D47	Voltio por centímetro
D48	Voltio por Kelvin 
D49	Millivoltio por Kelvin 
D5	Kilogramo por centímetro cuadrado
D50	Voltio por metro
D51	Voltio por milímetro
D52	Watt por kelvin
D53	Watt por metro kelvin
D54	Watt por metro cuadrado
D55	Watt por metro cuadrado kelvin
D56	Watt por metro cuadrado kelvin a la cuarta potencia
D57	Watt por estereorradián
D58	Watt por estereorradián metro cuadrado
D59	Weber por metro
D6	Roentgen por segundo
D60	Weber por milímetro
D61	Minuto [unidad de ángulo]
D62	Segundo [unidad de ángulo]
D63	Libro
D64	bloquear
D65	Redondo
D66	casete
D67	Dólar por hora
D68	Número de palabras
D69	Pulgada a la cuarta potencia
D7	Sandwich
D70	Calorías (tabla internacional)
D71	Calorías (tabla internacional) por segundo centímetro kelvin
D72	Calorías (tabla internacional) por segundo centímetro cuadrado kelvin
D73	Joule metro cuadrado
D74	Kilogramo por Mol
D75	Calorías (tabla internacional) por gramo
D76	Calorías (tabla internacional) por gramo de kelvin
D77	MegaCulombio
D78	Megajoule por segundo
D79	Viga
D8	Draize score
D80	Microwatt
D81	Microtesla
D82	Microvoltio
D83	Milinewton metro
D85	Microwatt por metro cuadrado
D86	MiliCulombio
D87	MiliMol por kilogramo
D88	MiliCulombio por metro cúbico
D89	MiliCulombio por metro cuadrado
D9	Dina por centímetro cuadrado
D90	Metro cúbico (neta)
D91	Rem
D92	banda
D93	Segundo por metro cúbico
D94	Segundo por metro cúbico Radian
D95	Joule por gramo
D96	Libra bruta
D98	Libra masiva
D99	manga
DAA	Decar
DAD	Decena de días
DAY	Día
DB	Libra seca
DC	Disco (disco)
DD	Grado [unidad de ángulo]
DE	Acuerdo
DEC	Década
DG	Decigramo
DI	dispensador
DJ	Decagramo
DLT	Decilitro
DMA	Decámetro cúbico
DMK	Decímetro cuadrado 
DMO	Kiloliter norma
DMQ	Decímetro cúbico
DMT	Decímetro
DN	Decinewton metro
DPC	Docenas de piezas
DPR	Docenas de pares
DPT	Peso de desplazamiento
DQ	registro de datos
DRA	Dram (EUA)
DRI	Dram (UK)
DRL	Docena de rodillos
DRM	Drachm (UK)
DS	monitor
DT	Tonelada seca
DTN	Decitonelada métrica
DU	dina
DWT	Pennyweight
Dx	Dina por centímetro
DY	Libro de directorio
DZN	Docena
DZP	Docena de paquete
E01	Newton por centímetro cuadrado
E07	Megawatt hora por hora
E08	Megavatios por hertz
E09	Miliamperio hora
E10	Día de grado
E11	Gigacalorie
E12	Mille
E14	Kilocaloría (tabla internacional)
E15	Kilocaloría (termoquímica) por hora
E16	Millón de btu (ti) por hora
E17	Pie cúbico por segundo
E18	Tonelada por hora
E19	Ping
E20	Megabit por segundo
E21	Shares
E22	Tue
E23	Neumático
E25	Unidad activa
E27	Dosis
E28	Tonelada seca de aire
E3	remolque
E30	Hebra
E31	Metro cuadrado por litro
E32	Litros por hora
E33	Por mil pies
E34	Gigabyte
E35	Terabyte
E36	Petabyte
E37	Pixel
E38	Megapíxeles
E39	Puntos por pulgada
E4	Kilo bruto
E40	Parte por cien mil
E41	Kilogramo-fuerza por milímetro cuadrado
E42	Kilogramo-fuerza por centímetro cuadrado
E43	Joule por centímetro cuadrado
E44	Metros kilogramo-fuerza por centímetro cuadrado
E45	MiliOhm
E46	Kilovatio hora por metro cúbico
E47	Kilovatio hora por kelvin
E48	Unidad de servicio
E49	Día de trabajo
E5	Tonelada métrica larga
E50	Unidad de cuenta
E51	Trabajo
E52	Run foot
E53	Prueba
E54	Viaje
E55	Utilizar
E56	Bien
E57	Zona
E58	Exabit por segundo
E59	Exbibyte
E60	Pebibyte
E61	Tebibyte
E62	Gibibyte
E63	Mebibyte
E64	Kibibyte
E65	Exbibit por metro
E66	Exbibit por metro cuadrado
E67	Exbibit por metro cúbico
E68	Gigabyte por segundo
E69	Gibibit por metro
E70	Gibibit por metro cuadrado
E71	Gibibit por metro cúbico
E72	Kibibit por metro
E73	Kibibit por metro cuadrado
E74	Kikibit por metro cúbico.
E75	Mebbit por metro.
E76	Mebbitt por metro cuadrado.
E77	Mebbit por metro cúbico. 
E78	Petabit
E79	Pebibit por segundo.
E80	Pebibit por metro.
E81	Pebibit por metro cuadrado.
E82	Pebibit por metro cúbico.
E83	Tebibit.
E84	Tebibit por segundo
E85	Tebibit por metro.
E86	Tebibit por metro cúbico.
E87	Tebibit por metro cuadrado
E88	Bit por metro
E89	Bit por metro cuadrado
E90	Centímetro recíproco
E91	Día recíproco
E92	Decímetro cúbico por hora
E93	Kilogramo por hora
E94	KiloMol por segundo
E95	Mol por segundo
E96	Grado por segundo
E97	Mililitro por gadro celsius metro
E98	Grado celsius por kelvin
E99	Hectopascal por bar
EA	Elemento
EB	Casilla de correo electrónico
EP	Paquete de once
EQ	Galón equivalente
F01	Bit por metro cúbico
F02	Kelvin por kelvin
F03	Kilopascal por bar
F04	Milibar por bar
F05	Megapascal por bar
F06	Poise por bar
F07	Pascal por bar
F08	Miliamperio por pulgada
F1	Mil pies cúbicos por día
F10	Kelvin por hora
F11	Kelvin por minuto
F12	Kelvin por segundo
F13	Slug
F14	Gramo por kelvin
F15	Kilogramo por kelvin
F16	Miligramo por kelvin
F17	Libra fuerza por pie
F18	Kilogramo centímetro cuadrado
F19	Kilogramo milimetro cuadrado
F20	Libra pulgada cuadrada
F21	Libra fuerza pulgada
F22	Libra fuerza por pie entre amperio
F23	Gramo por decímetro cúbico
F24	Kilogramo por kiloMol
F25	Gramo por hertz
F26	Gramo por día
F27	Gramo por hora
F28	Gramo por minuto
F29	Gramo por segundo
F30	Kilogramo por día
F31	Kilogramo por minuto
F32	Miligramo por dia
F33	Miligramo por minuto
F34	Miligramo por segundo
F35	Gramo por día kelvin
F36	Gramo por hora kelvin
F37	Gramo por minuto kelvin
F38	Gramo por segundo kelvin
F39	Kilogramo por día kelvin
F40	Kilogramo por hora kelvin
F41	Kilogramo por minuto kelvin
F42	Kilogramo por segundo kelvin
F43	Miligramo por día kelvin
F44	Miligramo por hora kelvin
F45	Miligramo por minuto kelvin
F46	Miligramo por segundo kelvin
F47	Newton por milímetro
F48	Libra fuerza por pulgada
F49	Rod (Unidad de distancia)
F50	Micrómetro por kelvin
F51	Centímetro por kelvin
F52	Metro por kelvin
F53	Mililitro por kelvin
F54	MiliOhm por metro
F55	Ohm por milla (milla estatal)
F56	Ohm por kilómetro
F57	Miliamperio por libra-fuerza por pulgada cuadrada
F58	Bar recíproco
F59	Miliamperio por bar
F60	Grado celsius por bar
F61	Kelvin por bar
F62	Gramo por día bar
F63	Gramo por hora bar
F64	Gramo por minuto bar
F65	Gramo por segundo bar
F66	Kililogramo por día bar
F67	Kilogramo por hora bar
F68	Kilogramo por minuto bar
F69	Kilogramo por segundo bar
F70	Miligramo por día bar
F71	Miligramo por hora bar
F72	Miligramo por minuto bar
F73	Miligramo por segundo bar
F74	Gramo por bar
F75	Miligramo por bar
F76	Miliamperio por milímetro
F77	Pascal segundo por kelvin
F78	Pulgada de agua
F79	Pulgada de mercurio
F80	Caballos de fuerza de agua
F81	Bar por kelvin
F82	Hectopascal por kelvin
F83	Kilopascal por kelvin
F84	Milibar por kelvin
F85	Megapascal por kelvin
F86	Poise por kelvin
F87	Voltio por litro minuto
F88	Newton centímetro
F89	Newton metro por grados
F9	Fibra por centímetro cúbico de aire
F90	Newton metro por amperio
F91	Bar litro por segundo
F92	Bar metro cúbico por segundo
F93	Hectopascal litro por segundo
F94	Hectopascal metro cúbico por segundo
F95	Milibar litro por segundo
F96	Milibar metro cúbico por segundo
F97	Megapascal litro por segundo
F98	Megapascal metro cúbico por segundo
F99	Pascal litro por segundo
FAH	Grado fahrenheit
FAR	Farad
FB	campo
FBM	Medidor de fibra
FC	Mil pies cúbicos
FD	Millones de partículas por pie cúbico
FE	Pie de pista
FF	Cien metros cúbicos
FG	Parche transdérmico
FH	MicroMol
FIT	Fallas en el tiempo
FL	Flake ton
FM	Millones de pies cúbicos
FOT	Pie
FP	Libra por pie cuadrado
FR	Pie por minuto
FS	Pie por segundo
FTK	Pie cuadrado
FTQ	Pie cúbico
G01	Pascal metro cúbico por segundo
G04	Centímetro por bar
G05	Metro por bar 
G06	Milímetro por bar 
G08	Pulgada cuadrada por segundo
G09	Metro cuadrado por segundo kelvin
G10	Stokes por kelvin
G11	Gramo por centímetro cúbico bar
G12	Gramo por decímetro cúbico bar
G13	Gramo por litro bar
G14	Gramo por metro cúbico bar
G15	Gramo por mililitro bar
G16	Kilogramo por centímetro cúbico bar
G17	Kilogramo por litro bar
